,dia_semana,horario,mortos,causa_acidente,municipio,tipo_veiculo
17335,sábado,20:40:00,0,Acessar a via sem observar a presença dos outros veículos,IMBITUBA,Automóvel
17336,sábado,20:30:00,0,Ausência de reação do condutor,GASPAR,Motocicleta
17337,sábado,20:30:00,0,Ausência de reação do condutor,GASPAR,Motocicleta
17338,sábado,20:35:00,0,Ingestão de álcool pelo condutor,GASPAR,Automóvel
17339,sábado,20:35:00,0,Ingestão de álcool pelo condutor,GASPAR,
17340,sábado,20:35:00,1,Ingestão de álcool pelo condutor,GASPAR,
17341,sábado,21:10:00,0,Velocidade Incompatível,PAULO LOPES,Motocicleta
17342,sábado,21:10:00,0,Velocidade Incompatível,PAULO LOPES,Motocicleta
17343,sábado,18:00:00,0,Ingestão de álcool pelo condutor,TUBARAO,Motocicleta
17344,domingo,03:15:00,0,Ausência de reação do condutor,ARARANGUA,Automóvel
17345,domingo,03:15:00,0,Ausência de reação do condutor,ARARANGUA,Automóvel
17346,domingo,04:30:00,0,Ausência de reação do condutor,GASPAR,Automóvel
17347,domingo,13:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17348,domingo,13:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17349,domingo,13:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17350,domingo,13:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17351,domingo,13:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17352,domingo,13:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17353,domingo,13:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Camioneta
17354,domingo,10:50:00,0,Ingestão de álcool pelo condutor,BALNEARIO CAMBORIU,Automóvel
